Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,reviewed_by
seawater_temperature,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-09-29T00:00:00Z,2015-12-17T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_pressure,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_temperature,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
ctd_abs_oxygen,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-12-18T00:00:00Z,2016-03-06T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
seawater_pressure,D00002,2016-03-07T00:00:00Z,2016-05-27T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich
